ym,zone_id,model_id,model_year,trim_id,engine,drivetrain,color,retail_qty,wholesale_qty,variable_margin_usd,op_profit_usd,stock_qty,days_supply,csi_score
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,스노우 화이트,193,202,859432,385488,320,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,153,160,680384,305178,254,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,129,135,572955,256992,214,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,실버,105,109,465526,208806,174,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,81,84,358097,160620,134,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,선셋 레드,64,67,286477,128496,107,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,포레스트 그린,40,42,179048,80310,67,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,샌드 베이지,40,42,179048,80310,67,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,스노우 화이트,64,67,286477,128496,107,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,51,53,226795,101726,85,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,스틸 그레이,43,45,190985,85664,71,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,실버,35,36,155175,69602,58,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,오션 블루,27,28,119366,53540,45,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,선셋 레드,21,22,95492,42832,36,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,포레스트 그린,13,14,59683,26770,22,50,88.5
2024-03,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,샌드 베이지,13,14,59683,26770,22,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,89,93,397048,178091,148,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,71,74,314329,140989,117,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,60,62,264698,118727,99,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,실버,48,51,215067,96466,80,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,오션 블루,37,39,165437,74204,62,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,30,31,132349,59364,49,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,19,19,82718,37102,31,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,19,19,82718,37102,31,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,30,31,132349,59364,49,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,24,25,104776,46996,39,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,20,21,88233,39576,33,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,실버,16,17,71689,32155,27,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,오션 블루,12,13,55146,24735,21,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,10,10,44116,19788,16,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,6,6,27573,12367,10,50,88.5
2024-03,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,6,6,27573,12367,10,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,224,234,1081665,532887,371,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,177,185,856318,421869,294,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,스틸 그레이,149,156,721110,355258,247,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,실버,121,127,585902,288647,201,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,오션 블루,93,97,450694,222036,155,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,선셋 레드,75,78,360555,177629,124,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,포레스트 그린,47,49,225347,111018,77,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,샌드 베이지,47,49,225347,111018,77,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,스노우 화이트,75,78,360555,177629,124,50,88.5
2024-03,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,59,62,285439,140623,98,50,88.5
