ym,zone_id,model_id,model_year,trim_id,engine,drivetrain,color,bp_retail_qty,bp_wholesale_qty,bp_op_profit_usd
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,스노우 화이트,75,76,146527
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,59,60,116001
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,스틸 그레이,50,51,97685
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,실버,40,41,79369
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,오션 블루,31,32,61053
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,선셋 레드,25,25,48842
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,포레스트 그린,16,16,30526
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,AWD,샌드 베이지,16,16,30526
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,스노우 화이트,25,25,48842
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,20,20,38667
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,스틸 그레이,17,17,32562
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,실버,13,14,26456
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,오션 블루,10,11,20351
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,선셋 레드,8,8,16281
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,포레스트 그린,5,5,10175
2027-09,west,TRN,2027,TRN-CO,3.5 가솔린,FWD,샌드 베이지,5,5,10175
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,91,93,179089
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,72,74,141778
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,61,62,119392
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,실버,49,50,97006
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,오션 블루,38,39,74620
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,30,31,59696
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,19,19,37310
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,19,19,37310
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,30,31,59696
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,24,25,47259
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,20,21,39797
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,실버,16,17,32335
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,오션 블루,13,13,24873
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,10,10,19899
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,6,6,12437
2027-09,west,TRN,2027,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,6,6,12437
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,스노우 화이트,87,88,202323
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,69,70,160173
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,스틸 그레이,58,59,134882
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,실버,47,48,109592
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,오션 블루,36,37,84301
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,선셋 레드,29,29,67441
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,포레스트 그린,18,18,42151
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,AWD,샌드 베이지,18,18,42151
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,스노우 화이트,29,29,67441
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,23,23,53391
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,스틸 그레이,19,20,44961
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,실버,16,16,36531
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,오션 블루,12,12,28100
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,선셋 레드,10,10,22480
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,포레스트 그린,6,6,14050
2027-09,west,TRN,2027,TRN-PR,3.5 가솔린,FWD,샌드 베이지,6,6,14050
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,106,108,247284
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,미드나잇 블랙,84,85,195767
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,스틸 그레이,71,72,164856
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,실버,57,58,133946
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,오션 블루,44,45,103035
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,선셋 레드,35,36,82428
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,포레스트 그린,22,22,51518
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,AWD,샌드 베이지,22,22,51518
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,스노우 화이트,35,36,82428
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,미드나잇 블랙,28,28,65256
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,스틸 그레이,24,24,54952
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,실버,19,19,44649
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,오션 블루,15,15,34345
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,선셋 레드,12,12,27476
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,포레스트 그린,7,7,17173
2027-09,west,TRN,2027,TRN-PR,2.5T 하이브리드,FWD,샌드 베이지,7,7,17173
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,스노우 화이트,35,36,106151
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,미드나잇 블랙,28,29,84036
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,스틸 그레이,24,24,70767
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,실버,19,20,57498
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,오션 블루,15,15,44229
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,선셋 레드,12,12,35384
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,포레스트 그린,7,8,22115
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,AWD,샌드 베이지,7,8,22115
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,스노우 화이트,12,12,35384
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,미드나잇 블랙,9,10,28012
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,스틸 그레이,8,8,23589
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,실버,6,7,19166
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,오션 블루,5,5,14743
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,선셋 레드,4,4,11795
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,포레스트 그린,2,3,7372
2027-09,west,TRN,2027,TRN-SU,3.5 가솔린,FWD,샌드 베이지,2,3,7372
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,스노우 화이트,43,44,129740
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,미드나잇 블랙,34,35,102711
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,스틸 그레이,29,29,86493
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,실버,23,24,70276
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,오션 블루,18,18,54058
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,선셋 레드,14,15,43247
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,포레스트 그린,9,9,27029
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,AWD,샌드 베이지,9,9,27029
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,스노우 화이트,14,15,43247
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,미드나잇 블랙,11,12,34237
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,스틸 그레이,10,10,28831
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,실버,8,8,23425
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,오션 블루,6,6,18019
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,선셋 레드,5,5,14416
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,포레스트 그린,3,3,9010
2027-09,west,TRN,2027,TRN-SU,2.5T 하이브리드,FWD,샌드 베이지,3,3,9010
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,스노우 화이트,50,51,97685
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,39,40,77334
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,스틸 그레이,33,34,65123
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,실버,27,28,52913
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,오션 블루,21,21,40702
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,선셋 레드,17,17,32562
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,포레스트 그린,10,11,20351
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,AWD,샌드 베이지,10,11,20351
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,스노우 화이트,17,17,32562
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,13,13,25778
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,스틸 그레이,11,11,21708
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,실버,9,9,17638
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,오션 블루,7,7,13567
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,선셋 레드,6,6,10854
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,포레스트 그린,3,4,6784
2027-09,west,TRN,2028,TRN-CO,3.5 가솔린,FWD,샌드 베이지,3,4,6784
2027-09,west,TRN,2028,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,61,62,119392
2027-09,west,TRN,2028,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,48,49,94519
2027-09,west,TRN,2028,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,41,41,79595
2027-09,west,TRN,2028,TRN-CO,2.5T 하이브리드,AWD,실버,33,34,64671
