plan_my,model_id,trim_id,mix_prev_pct,mix_plan_pct,plan_ws_qty,fob_usd,fob_prev_usd,plant_id,status,decided_ym
2025,TRN,TRN-CO,38.0,36.5,65768,30402,29661,US-GA,FOB 확정,2024-11
2025,TRN,TRN-PR,44.0,44.0,79282,33046,32240,US-GA,FOB 확정,2024-11
2025,TRN,TRN-SU,18.0,19.5,35137,37672,36754,US-GA,FOB 확정,2024-11
2025,VST,VST-CO,38.0,36.5,71249,22509,21960,US-GA,FOB 확정,2024-11
2025,VST,VST-PR,44.0,44.0,85889,24467,23870,US-GA,FOB 확정,2024-11
2025,VST,VST-TR,18.0,19.5,38065,27892,27212,US-GA,FOB 확정,2024-11
2025,AUR,AUR-AI,38.0,35.0,22554,34436,33597,US-SV,FOB 확정,2024-11
2025,AUR,AUR-RA,44.0,44.0,28353,37431,36518,US-SV,FOB 확정,2024-11
2025,AUR,AUR-MA,18.0,21.0,13532,42671,41631,US-SV,FOB 확정,2024-11
2025,MRD,MRD-CO,38.0,36.5,43846,18241,17796,MX-MT,FOB 확정,2024-11
2025,MRD,MRD-PR,44.0,44.0,52855,19828,19344,MX-MT,FOB 확정,2024-11
2025,MRD,MRD-SP,18.0,19.5,23424,22603,22052,MX-MT,FOB 확정,2024-11
2025,NOV,NOV-CO,38.0,36.5,35625,25900,25269,KR-2,FOB 확정,2024-11
2025,NOV,NOV-PR,44.0,44.0,42945,28153,27466,KR-2,FOB 확정,2024-11
2025,NOV,NOV-LO,18.0,19.5,19032,32094,31311,KR-2,FOB 확정,2024-11
2025,LUM,LUM-AI,38.0,35.0,36650,24965,24356,KR-1,FOB 확정,2024-11
2025,LUM,LUM-RA,44.0,44.0,46074,27136,26474,KR-1,FOB 확정,2024-11
2025,LUM,LUM-SP,18.0,21.0,21990,30935,30180,KR-1,FOB 확정,2024-11
