building,floor,zone_id,zone_name,zone_type,area_m2,rent_usd_month
동관,1,E1-LOB,로비·안내,공용,900,36000
동관,1,E1-CAF,카페테리아,공용,700,28000
동관,1,E1-OFA,사무 A,사무,1400,56000
동관,1,E1-MTG,회의실 존,회의,600,24000
동관,1,E1-SRV,서버실,항온,400,20000
동관,2,E2-OFA,사무 A,사무,1500,60000
동관,2,E2-OFB,사무 B,사무,1300,52000
동관,2,E2-MTG,회의실 존,회의,500,20000
동관,2,E2-COM,공용,공용,300,12000
동관,3,E3-OFA,사무 A,사무,1500,60000
동관,3,E3-OFB,사무 B,사무,1200,48000
동관,3,E3-EXE,임원실,사무,600,24000
동관,3,E3-COM,공용,공용,300,12000
서관,1,W1-TRN,교육장,회의,1100,37400
서관,1,W1-SHW,전시·딜러 라운지,공용,900,30600
서관,1,W1-OFA,사무 A,사무,1000,34000
서관,1,W1-COM,공용,공용,400,13600
서관,2,W2-OFA,사무 A,사무,1400,47600
서관,2,W2-OFB,사무 B,사무,1200,40800
서관,2,W2-MTG,회의실 존,회의,500,17000
서관,2,W2-COM,공용,공용,300,10200
서관,3,W3-CC,콜센터,사무,1300,44200
서관,3,W3-OFA,사무 A,사무,1100,37400
서관,3,W3-COM,공용,공용,400,13600
