model_id,trim_id,trim_name,mix_weight,msrp_factor
TRN,TRN-CO,Core,0.38,0.92
TRN,TRN-PR,Prime,0.44,1.0
TRN,TRN-SU,Summit,0.18,1.14
VST,VST-CO,Core,0.38,0.92
VST,VST-PR,Prime,0.44,1.0
VST,VST-TR,Trail,0.18,1.14
AUR,AUR-AI,Air,0.38,0.92
AUR,AUR-RA,Range,0.44,1.0
AUR,AUR-MA,Max,0.18,1.14
MRD,MRD-CO,Core,0.38,0.92
MRD,MRD-PR,Prime,0.44,1.0
MRD,MRD-SP,Sport,0.18,1.14
NOV,NOV-CO,Core,0.38,0.92
NOV,NOV-PR,Prime,0.44,1.0
NOV,NOV-LO,Lounge,0.18,1.14
LUM,LUM-AI,Air,0.38,0.92
LUM,LUM-RA,Range,0.44,1.0
LUM,LUM-SP,Sport,0.18,1.14
