ym_order,model_id,zone_id,trim_id,color,retail_ma3,stock_qty,ds_days,dos_weight,order_qty,prod_ym
2026-06,TRN,west,TRN-CO,스노우 화이트,392.4,832,64.4,0.93,341,2026-06
2026-06,TRN,west,TRN-CO,미드나잇 블랙,310.6,658,64.4,0.93,270,2026-06
2026-06,TRN,west,TRN-CO,스틸 그레이,261.6,554,64.4,0.93,227,2026-06
2026-06,TRN,west,TRN-CO,실버,212.5,450,64.4,0.93,185,2026-06
2026-06,TRN,west,TRN-CO,오션 블루,163.5,346,64.4,0.93,142,2026-06
2026-06,TRN,west,TRN-CO,선셋 레드,130.8,277,64.4,0.93,114,2026-06
2026-06,TRN,west,TRN-CO,포레스트 그린,81.7,173,64.4,0.93,71,2026-06
2026-06,TRN,west,TRN-CO,샌드 베이지,81.7,173,64.4,0.93,71,2026-06
2026-06,TRN,west,TRN-PR,스노우 화이트,454.3,963,64.4,0.93,394,2026-06
2026-06,TRN,west,TRN-PR,미드나잇 블랙,359.7,762,64.4,0.93,312,2026-06
2026-06,TRN,west,TRN-PR,스틸 그레이,302.9,642,64.4,0.93,263,2026-06
2026-06,TRN,west,TRN-PR,실버,246.1,522,64.4,0.93,214,2026-06
2026-06,TRN,west,TRN-PR,오션 블루,189.3,401,64.4,0.93,164,2026-06
2026-06,TRN,west,TRN-PR,선셋 레드,151.4,321,64.4,0.93,131,2026-06
2026-06,TRN,west,TRN-PR,포레스트 그린,94.7,201,64.4,0.93,82,2026-06
2026-06,TRN,west,TRN-PR,샌드 베이지,94.7,201,64.4,0.93,82,2026-06
2026-06,TRN,west,TRN-SU,스노우 화이트,185.9,394,64.4,0.93,161,2026-06
2026-06,TRN,west,TRN-SU,미드나잇 블랙,147.1,312,64.4,0.93,128,2026-06
2026-06,TRN,west,TRN-SU,스틸 그레이,123.9,263,64.4,0.93,108,2026-06
2026-06,TRN,west,TRN-SU,실버,100.7,213,64.4,0.93,87,2026-06
2026-06,TRN,west,TRN-SU,오션 블루,77.4,164,64.4,0.93,67,2026-06
2026-06,TRN,west,TRN-SU,선셋 레드,62.0,131,64.4,0.93,54,2026-06
2026-06,TRN,west,TRN-SU,포레스트 그린,38.7,82,64.4,0.93,34,2026-06
2026-06,TRN,west,TRN-SU,샌드 베이지,38.7,82,64.4,0.93,34,2026-06
2026-06,TRN,central,TRN-CO,스노우 화이트,256.6,468,55.5,1.08,259,2026-06
2026-06,TRN,central,TRN-CO,미드나잇 블랙,203.1,371,55.5,1.08,205,2026-06
2026-06,TRN,central,TRN-CO,스틸 그레이,171.0,312,55.5,1.08,172,2026-06
2026-06,TRN,central,TRN-CO,실버,139.0,254,55.5,1.08,140,2026-06
2026-06,TRN,central,TRN-CO,오션 블루,106.9,195,55.5,1.08,108,2026-06
2026-06,TRN,central,TRN-CO,선셋 레드,85.5,156,55.5,1.08,86,2026-06
2026-06,TRN,central,TRN-CO,포레스트 그린,53.4,98,55.5,1.08,54,2026-06
2026-06,TRN,central,TRN-CO,샌드 베이지,53.4,98,55.5,1.08,54,2026-06
2026-06,TRN,central,TRN-PR,스노우 화이트,297.1,542,55.5,1.08,300,2026-06
2026-06,TRN,central,TRN-PR,미드나잇 블랙,235.2,429,55.5,1.08,237,2026-06
