ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-11,TRN,TRN-CO,5061,60,1
2024-11,TRN,TRN-PR,5860,60,1
2024-11,TRN,TRN-SU,2397,60,1
2024-11,VST,VST-CO,5694,60,1
2024-11,VST,VST-PR,6593,60,1
2024-11,VST,VST-TR,2697,60,1
2024-11,AUR,AUR-AI,1900,60,1
2024-11,AUR,AUR-RA,2200,60,1
2024-11,AUR,AUR-MA,900,60,1
2024-11,MRD,MRD-CO,4849,60,1
2024-11,MRD,MRD-PR,5615,60,1
2024-11,MRD,MRD-SP,2297,60,1
2024-11,NOV,NOV-CO,2755,60,1
2024-11,NOV,NOV-PR,3190,60,1
2024-11,NOV,NOV-LO,1305,60,1
2024-11,LUM,LUM-AI,2965,60,1
2024-11,LUM,LUM-RA,3433,60,1
2024-11,LUM,LUM-SP,1404,60,1
