ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2026-07,west,TRN,82,366,2.9,0
2026-07,central,TRN,43,239,2.9,0
2026-07,south,TRN,71,310,3.9,0
2026-07,northeast,TRN,40,239,2.6,0
2026-07,southeast,TRN,46,254,3.4,0
2026-07,west,VST,73,397,3.1,0
2026-07,central,VST,49,259,3.5,0
2026-07,south,VST,62,336,3.6,0
2026-07,northeast,VST,45,259,3.2,0
2026-07,southeast,VST,47,275,2.6,0
2026-07,west,AUR,32,157,2.5,0
2026-07,central,AUR,11,57,3.8,0
2026-07,south,AUR,13,74,3.8,0
2026-07,northeast,AUR,19,102,2.4,0
2026-07,southeast,AUR,15,80,3.3,0
2026-07,west,MRD,47,244,3.3,0
2026-07,central,MRD,31,160,2.9,0
2026-07,south,MRD,37,207,3.0,0
2026-07,northeast,MRD,28,160,3.0,0
2026-07,southeast,MRD,31,169,2.3,0
2026-07,west,NOV,34,198,3.6,0
2026-07,central,NOV,17,130,2.9,0
2026-07,south,NOV,33,168,4.1,0
2026-07,northeast,NOV,24,130,3.1,0
2026-07,southeast,NOV,26,137,3.5,0
2026-07,west,LUM,56,254,3.2,0
2026-07,central,LUM,18,92,2.7,0
2026-07,south,LUM,21,120,3.2,0
2026-07,northeast,LUM,34,166,2.9,0
2026-07,southeast,LUM,23,130,3.4,0
