prod_ym,vin,model_id,model_year,trim_id,engine,drivetrain,color,plant_id,dest_zone_id,msrp_usd
2024-08,VF3TCABXRU0008418,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,US-GA,southeast,47840
2024-08,VF3TCAAXRU0008419,TRN,2024,TRN-CO,3.5 가솔린,AWD,스노우 화이트,US-GA,south,47840
2024-08,VF3TCAGXRU0008420,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,US-GA,west,47840
2024-08,VF3TSABXRU0008421,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,미드나잇 블랙,US-GA,west,59280
2024-08,VF3TSACXRU0008422,TRN,2024,TRN-SU,3.5 가솔린,AWD,스틸 그레이,US-GA,west,59280
2024-08,VF3TCADXRU0008423,TRN,2024,TRN-CO,3.5 가솔린,AWD,실버,US-GA,west,47840
2024-08,VF3TCAHXRU0008424,TRN,2024,TRN-CO,3.5 가솔린,AWD,샌드 베이지,US-GA,south,47840
2024-08,VF3TPACXRU0008425,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스틸 그레이,US-GA,central,52000
2024-08,VF3TCAFXSU0008426,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,US-GA,northeast,47840
2024-08,VF3TSFAXRU0008427,TRN,2024,TRN-SU,2.5T 하이브리드,FWD,스노우 화이트,US-GA,south,59280
2024-08,VF3TPAFXRU0008428,TRN,2024,TRN-PR,3.5 가솔린,AWD,선셋 레드,US-GA,west,52000
2024-08,VF3TCABXRU0008429,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,US-GA,west,47840
2024-08,VF3TPACXSU0008430,TRN,2025,TRN-PR,3.5 가솔린,AWD,스틸 그레이,US-GA,south,52000
2024-08,VF3TCFFXSU0008431,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,US-GA,south,47840
2024-08,VF3TPABXRU0008432,TRN,2024,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,US-GA,central,52000
2024-08,VF3TPAEXRU0008433,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,오션 블루,US-GA,west,52000
2024-08,VF3TPFFXSU0008434,TRN,2025,TRN-PR,3.5 가솔린,FWD,선셋 레드,US-GA,west,52000
2024-08,VF3TPACXRU0008435,TRN,2024,TRN-PR,3.5 가솔린,AWD,스틸 그레이,US-GA,west,52000
2024-08,VF3TCACXRU0008436,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,US-GA,south,47840
2024-08,VF3TPAEXRU0008437,TRN,2024,TRN-PR,3.5 가솔린,AWD,오션 블루,US-GA,northeast,52000
2024-08,VF3TCFDXRU0008438,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,실버,US-GA,south,47840
2024-08,VF3TPAAXRU0008439,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,central,52000
