retail_ym,vin,zone_id,retail_date,channel,txn_price_usd,incentive_usd
2025-04,VF3TCABXSU0015998,central,2025-04-08,retail,46640,1200
2025-04,VF3TPFEXSU0016000,south,2025-04-25,retail,50800,1200
2025-04,VF3TPACXSU0016004,west,2025-04-20,retail,50800,1200
2025-04,VF3TCFEXSU0016035,central,2025-04-10,retail,46640,1200
2025-04,VF3TPAGXSU0016044,central,2025-04-08,retail,50800,1200
2025-04,VF3TCAAXSU0016047,southeast,2025-04-21,retail,46640,1200
2025-04,VF3TPAAXSU0016051,central,2025-04-27,retail,50800,1200
2025-04,VF3TCFAXSU0016052,south,2025-04-18,retail,46640,1200
2025-04,VF3TPAAXSU0016060,south,2025-04-13,retail,50800,1200
2025-04,VF3TCFAXSU0016070,south,2025-04-08,retail,46640,1200
2025-04,VF3TCFCXSU0016075,northeast,2025-04-15,retail,46640,1200
2025-04,VF3TPAGXSU0016085,southeast,2025-04-16,fleet,50800,1200
2025-04,VF3TCFAXSU0016100,southeast,2025-04-23,retail,46640,1200
2025-04,VF3TCAEXSU0016103,south,2025-04-28,retail,46640,1200
2025-04,VF3TCAAXSU0016113,west,2025-04-16,retail,46640,1200
2025-04,VF3TCAFXSU0016128,south,2025-04-13,retail,46640,1200
2025-04,VF3TCACXSU0016152,northeast,2025-04-14,retail,46640,1200
2025-04,VF3TCFDXSU0016155,northeast,2025-04-28,retail,46640,1200
2025-04,VF3TSAAXSU0016157,west,2025-04-12,retail,58080,1200
2025-04,VF3TPAAXSU0016183,south,2025-04-27,retail,50800,1200
2025-04,VF3TCABXSU0016187,southeast,2025-04-01,retail,46640,1200
2025-04,VF3TCABXSU0016192,northeast,2025-04-26,fleet,46640,1200
2025-04,VF3TPFCXSU0016213,south,2025-04-10,retail,50800,1200
2025-04,VF3TPADXSU0016231,south,2025-04-02,retail,50800,1200
2025-04,VF3TCAAXSU0016236,central,2025-04-10,retail,46640,1200
2025-04,VF3TCFAXSU0016245,southeast,2025-04-07,retail,46640,1200
