ws_ym,vin,zone_id,wholesale_price_usd,variable_margin_usd,freight_usd
2026-07,VF3TPACXTU0039324,west,50440,4624,380
2026-07,VF3TPADXTU0039325,west,50440,4624,380
2026-07,VF3TPAAXTU0039326,south,50440,4624,380
2026-07,VF3TCAAXTU0039327,west,46405,4254,380
2026-07,VF3TPABXTU0039328,northeast,50440,4624,380
2026-07,VF3TCACXTU0039329,central,46405,4254,380
2026-07,VF3TPABXTU0039330,south,50440,4624,380
2026-07,VF3TCFBXTU0039331,south,46405,4254,380
2026-07,VF3TCACXTU0039332,west,46405,4254,380
2026-07,VF3TCADXTU0039333,south,46405,4254,380
2026-07,VF3TCFAXTU0039334,northeast,46405,4254,380
2026-07,VF3TPFEXTU0039335,south,50440,4624,380
2026-07,VF3TPFBXTU0039336,south,50440,4624,380
2026-07,VF3TPFBXTU0039337,west,50440,4624,380
2026-07,VF3TPAEXTU0039338,west,50440,4624,380
2026-07,VF3TCAAXTU0039339,southeast,46405,4254,380
2026-07,VF3TPFGXTU0039340,west,50440,4624,380
2026-07,VF3TPADXTU0039341,central,50440,4624,380
2026-07,VF3TCAAXTU0039342,central,46405,4254,380
2026-07,VF3TPAFXTU0039343,west,50440,4624,380
2026-07,VF3TPABXTU0039344,central,50440,4624,380
2026-07,VF3TCADXTU0039345,central,46405,4254,380
2026-07,VF3TPFEXTU0039346,west,50440,4624,380
2026-07,VF3TSFAXTU0039347,west,57502,5271,380
2026-07,VF3TPFCXTU0039348,southeast,50440,4624,380
2026-07,VF3TSADXTU0039349,southeast,57502,5271,380
2026-07,VF3TCADXTU0039350,west,46405,4254,380
2026-07,VF3TCFFXTU0039351,south,46405,4254,380
2026-07,VF3TCAFXTU0039352,west,46405,4254,380
2026-07,VF3TSADXTU0039353,south,57502,5271,380
2026-07,VF3TCAGXTU0039354,central,46405,4254,380
2026-07,VF3TPACXTU0039355,central,50440,4624,380
2026-07,VF3TSABXTU0039356,northeast,57502,5271,380
2026-07,VF3TSACXTU0039357,northeast,57502,5271,380
2026-07,VF3TSAAXTU0039358,west,57502,5271,380
2026-07,VF3TCACXTU0039359,southeast,46405,4254,380
2026-07,VF3TPADXTU0039360,northeast,50440,4624,380
2026-07,VF3TPFAXTU0039361,south,50440,4624,380
2026-07,VF3TSAFXTU0039362,west,57502,5271,380
2026-07,VF3TPABXTU0039363,central,50440,4624,380
2026-07,VF3TCABXTU0039364,southeast,46405,4254,380
2026-07,VF3TSFEXTU0039365,south,57502,5271,380
2026-07,VF3TCAFXTU0039366,south,46405,4254,380
2026-07,VF3TCABXTU0039367,southeast,46405,4254,380
2026-07,VF3TPFAXTU0039368,south,50440,4624,380
2026-07,VF3TSAEXTU0039369,southeast,57502,5271,380
2026-07,VF3TPAEXTU0039370,central,50440,4624,380
2026-07,VF3TCAEXTU0039371,northeast,46405,4254,380
2026-07,VF3TPADXTU0039372,northeast,50440,4624,380
2026-07,VF3TSAAXTU0039373,central,57502,5271,380
2026-07,VF3TPAEXTU0039374,southeast,50440,4624,380
2026-07,VF3TSFAXTU0039375,south,57502,5271,380
2026-07,VF3TCFDXTU0039376,south,46405,4254,380
2026-07,VF3TCAFXTU0039377,west,46405,4254,380
2026-07,VF3TCAEXTU0039378,central,46405,4254,380
2026-07,VF3TSACXTU0039379,northeast,57502,5271,380
2026-07,VF3TCACXTU0039380,south,46405,4254,380
2026-07,VF3TPFBXTU0039381,west,50440,4624,380
2026-07,VF3TPABXTU0039382,central,50440,4624,380
2026-07,VF3TPAAXTU0039383,south,50440,4624,380
2026-07,VF3TSAEXTU0039384,west,57502,5271,380
2026-07,VF3TPAEXTU0039385,northeast,50440,4624,380
2026-07,VF3TCAEXTU0039386,west,46405,4254,380
2026-07,VF3TCAFXTU0039387,central,46405,4254,380
2026-07,VF3TSABXTU0039388,northeast,57502,5271,380
2026-07,VF3TCFCXTU0039389,south,46405,4254,380
2026-07,VF3TCFBXTU0039390,central,46405,4254,380
2026-07,VF3TSAAXTU0039391,southeast,57502,5271,380
2026-07,VF3TSFBXTU0039392,central,57502,5271,380
2026-07,VF3TSFAXTU0039393,south,57502,5271,380
2026-07,VF3TPFDXTU0039394,southeast,50440,4624,380
2026-07,VF3TCFAXTU0039395,south,46405,4254,380
2026-07,VF3TCAAXTU0039396,south,46405,4254,380
2026-07,VF3TCFBXTU0039397,west,46405,4254,380
2026-07,VF3TSFEXTU0039398,northeast,57502,5271,380
2026-07,VF3TCAEXTU0039399,central,46405,4254,380
2026-07,VF3TPAFXTU0039400,central,50440,4624,380
2026-07,VF3TPAGXTU0039401,central,50440,4624,380
2026-07,VF3TPACXTU0039402,northeast,50440,4624,380
2026-07,VF3TPAHXTU0039403,west,50440,4624,380
2026-07,VF3TCAAXTU0039404,central,46405,4254,380
2026-07,VF3TCFDXTU0039405,southeast,46405,4254,380
2026-07,VF3TSABXTU0039406,northeast,57502,5271,380
2026-07,VF3TSABXTU0039407,southeast,57502,5271,380
2026-07,VF3TSFAXTU0039408,west,57502,5271,380
2026-07,VF3TPAEXTU0039409,south,50440,4624,380
2026-07,VF3TCFBXTU0039410,southeast,46405,4254,380
2026-07,VF3TCABXTU0039411,central,46405,4254,380
2026-07,VF3TPAAXTU0039412,southeast,50440,4624,380
2026-07,VF3TPFAXTU0039413,southeast,50440,4624,380
2026-07,VF3TCAFXTU0039414,west,46405,4254,380
2026-07,VF3TSAHXTU0039415,west,57502,5271,380
2026-07,VF3TCAHXTU0039416,west,46405,4254,380
2026-07,VF3TPAEXTU0039417,northeast,50440,4624,380
2026-07,VF3TCAAXTU0039418,west,46405,4254,380
2026-07,VF3TCADXTU0039419,northeast,46405,4254,380
2026-07,VF3TCACXTU0039420,central,46405,4254,380
2026-07,VF3TPACXTU0039421,southeast,50440,4624,380
2026-07,VF3TSACXTU0039422,northeast,57502,5271,380
2026-07,VF3TCFAXTU0039423,southeast,46405,4254,380
2026-07,VF3TCAHXTU0039424,southeast,46405,4254,380
2026-07,VF3TPAHXTU0039425,west,50440,4624,380
2026-07,VF3TSAAXTU0039426,south,57502,5271,380
2026-07,VF3TCAGXTU0039427,northeast,46405,4254,380
2026-07,VF3TCAGXTU0039428,central,46405,4254,380
2026-07,VF3TCFAXTU0039429,southeast,46405,4254,380
2026-07,VF3TPAEXTU0039430,south,50440,4624,380
