ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2026-01,TRN,파워트레인,37,0.6,low,0
2026-01,TRN,전장/배터리,36,0.6,low,0
2026-01,TRN,커넥티드/SW,26,0.4,low,0
2026-01,TRN,바디/내장,38,0.6,low,0
2026-01,TRN,샤시/조향,30,0.4,low,0
2026-01,TRN,안전/ADAS,15,0.2,low,0
2026-01,TRN,인포테인먼트,34,0.5,low,0
2026-01,TRN,공조,22,0.3,low,0
2026-01,TRN,기타,28,0.4,low,0
2026-01,VST,파워트레인,42,0.6,low,0
2026-01,VST,전장/배터리,37,0.5,low,0
2026-01,VST,커넥티드/SW,30,0.4,low,0
2026-01,VST,바디/내장,41,0.6,low,0
2026-01,VST,샤시/조향,31,0.4,low,0
2026-01,VST,안전/ADAS,17,0.2,low,0
2026-01,VST,인포테인먼트,37,0.5,low,0
2026-01,VST,공조,24,0.3,low,0
2026-01,VST,기타,27,0.4,low,0
2026-01,AUR,파워트레인,13,0.6,low,0
2026-01,AUR,전장/배터리,12,0.5,low,0
2026-01,AUR,커넥티드/SW,9,0.4,low,0
2026-01,AUR,바디/내장,13,0.6,low,0
2026-01,AUR,샤시/조향,10,0.4,low,0
2026-01,AUR,안전/ADAS,5,0.2,low,0
2026-01,AUR,인포테인먼트,13,0.6,low,0
2026-01,AUR,공조,7,0.3,low,0
2026-01,AUR,기타,9,0.4,low,0
2026-01,MRD,파워트레인,24,0.5,low,0
2026-01,MRD,전장/배터리,23,0.5,low,0
2026-01,MRD,커넥티드/SW,17,0.4,low,0
2026-01,MRD,바디/내장,24,0.6,low,0
2026-01,MRD,샤시/조향,20,0.4,low,0
2026-01,MRD,안전/ADAS,11,0.2,low,0
2026-01,MRD,인포테인먼트,24,0.5,low,0
2026-01,MRD,공조,13,0.3,low,0
2026-01,MRD,기타,18,0.4,low,0
2026-01,NOV,파워트레인,20,0.6,low,0
2026-01,NOV,전장/배터리,19,0.5,low,0
2026-01,NOV,커넥티드/SW,15,0.4,low,0
2026-01,NOV,바디/내장,20,0.6,low,0
2026-01,NOV,샤시/조향,15,0.4,low,0
2026-01,NOV,안전/ADAS,8,0.2,low,0
2026-01,NOV,인포테인먼트,19,0.5,low,0
2026-01,NOV,공조,10,0.3,low,0
2026-01,NOV,기타,14,0.4,low,0
2026-01,LUM,파워트레인,19,0.5,low,0
2026-01,LUM,전장/배터리,17,0.5,low,0
2026-01,LUM,커넥티드/SW,14,0.4,low,0
2026-01,LUM,바디/내장,24,0.7,low,0
2026-01,LUM,샤시/조향,14,0.4,low,0
2026-01,LUM,안전/ADAS,8,0.2,low,0
2026-01,LUM,인포테인먼트,19,0.5,low,0
2026-01,LUM,공조,12,0.3,low,0
2026-01,LUM,기타,15,0.4,low,0
